Oid,SheetName,ClassName,Name,Value,Units,
2442,Column,TraySection,ColumnSections(1).Trays(2).VaporToTrayDensity,1.059377011,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(2).VaporToTrayDynamicViscosity,1.41E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(2).VaporToTrayMassFlow,0.720843881,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(2).VaporToTrayMolecularWeight,20.26582709,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(2).VaporToTrayPressure,166163.696,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(2).VaporToTrayTemperature,386.91891,K,
2442,Column,TraySection,ColumnSections(1).Trays(3).LiquidFromTrayActualVolFlow,0.007471388,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(3).LiquidFromTrayDensity,981.2880459,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(3).LiquidFromTrayDynamicViscosity,0.000632612,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(3).LiquidFromTrayMassFlow,7.331583977,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(3).LiquidFromTrayMolecularWeight,27.65990939,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(3).LiquidFromTrayPressure,166853.172,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(3).LiquidFromTraySurfacetension,0.039404969,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(3).LiquidFromTrayTemperature,388.124425,K,
2442,Column,TraySection,ColumnSections(1).Trays(3).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(3).TrayNumber,3,,
2442,Column,TraySection,ColumnSections(1).Trays(3).VaporToTrayActualVolFlow,0.747656695,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(3).VaporToTrayDensity,1.020226808,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(3).VaporToTrayDynamicViscosity,1.39E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(3).VaporToTrayMassFlow,0.762779403,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(3).VaporToTrayMolecularWeight,19.49784922,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(3).VaporToTrayPressure,166853.172,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(3).VaporToTrayTemperature,388.271716,K,
2442,Column,TraySection,ColumnSections(1).Trays(4).LiquidFromTrayActualVolFlow,0.00748765,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(4).LiquidFromTrayDensity,979.3049189,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(4).LiquidFromTrayDynamicViscosity,0.000615084,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(4).LiquidFromTrayMassFlow,7.332692063,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(4).LiquidFromTrayMolecularWeight,27.60067522,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(4).LiquidFromTrayPressure,167542.647,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(4).LiquidFromTraySurfacetension,0.039109274,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(4).LiquidFromTrayTemperature,388.921235,K,
2442,Column,TraySection,ColumnSections(1).Trays(4).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(4).TrayNumber,4,,
2442,Column,TraySection,ColumnSections(1).Trays(4).VaporToTrayActualVolFlow,0.767775103,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(4).VaporToTrayDensity,1.001054786,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(4).VaporToTrayDynamicViscosity,1.37E-05,(N/m^2).s,
