Oid,SheetName,ClassName,Name,Value,Units
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkNoakVolatility,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkNonBasicNitrogenContent,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkPenetrationIndex,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkPressure,500000,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkSmokePoint,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkSofteningPoint,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkSpecificGravityMole,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkStandardLiquidVolumeFlowRate,,m^3/s@15degC
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkStdMassDensity,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkSulfurContent,,kg/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkSurfaceTension,,N/m
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkTemperature,323.15,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkThermalConductivity,,W/(m.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkTotalAromatics,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkTotalNitrogen,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkTotalParaffin,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkVanadiumContent,,kg/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkViscosity,,(N/m^2).s
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkViscosityKinematic,,m^2/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkVolumetricFlow,,m^3/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkWaterFraction,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkWaxContent,,J/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkWobbeIndex,,J/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DBName,H-113-INLET,
613,AirCooled,AirCooledExchanger,Ports.Inlet.Description,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkAccentricFactor,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkBubblePointTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkCompressibility,,unitless
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkCriticalPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkCriticalTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkCriticalVolume,,m^3/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkDewPointPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkDewPointTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkEnthalphyFlow,,W
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkHeatCapacityRatio,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMassDensity,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMassDensityStandard,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMassEnthalpy,,J/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMassEntropy,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMassFlow,,kg/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMassHeatCapacity,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMassHeatCapacityConstVol,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMolarDensity,,kmol/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMolarEnthalpy,,kmol/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMolarEntropy,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMolarFlow,,kmol/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMolarHeatCapacityConstVol,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkMolecularWeight,,g/mol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkSurfaceTension,,N/m
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkThermalConductivity,,W/(m.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkViscosity,,(N/m^2).s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkViscosityKinematic,,m^2/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryBulkVolumetricFlow,,m^3/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1AccentricFactor,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1CriticalPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1CriticalTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1CriticalVolume,,m^3/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1MassDensity,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1MolarEnthalpy,,J/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1MolarEntropy,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1MolarFlow,,kmol/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1MolarFraction,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1MolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1MolarHeatCapacityConstVol,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1MolecularWeight,,g/mol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1SurfaceTension,,N/m
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1ThermalConductivity,,W/(m.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1Viscosity,,(N/m^2).s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid1ViscosityKinematic,,m^2/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid2MolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquid2MolarHeatCapacityConstVol,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidAcentricFactor,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidCriticalPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidCriticalTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidCriticalVolume,,m^3/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidMassDensity,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidMolarEnthalpy,,J/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidMolarEntropy,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidMolarFlow,,kmol/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidMolarFraction,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidMolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidMolarHeatCapacityConstVol,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidMolecularWeight,,g/mol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidSurfaceTension,,N/m
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidThermalConductivity,,W/(m.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidViscosity,,(N/m^2).s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryLiquidViscosityKinematic,,m^2/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DrySolidMolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporAccentricFactor,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporBubblePointPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporBubblePointTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporCompressibility,,unitless
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporCriticalPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporCriticalTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporCriticalVolume,,m^3/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporDewPointPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporDewPointTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporEnthalpyFlow,,W
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporHeatCapacityRatio,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMassDensity,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMassDensityStandard,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMassEnthalpy,,J/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMassEntropy,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMassFlow,,kg/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMassHeatCapacity,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMassHeatCapacityConstVol,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMolarDensity,,kmol/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMolarEnthalpy,,J/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMolarEntropy,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMolarFlow,,kmol/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMolarFraction,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMolarHeatCapacityConstVol,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporMolecularWeight,,g/mol
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporSurfaceTension,,N/m
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporThermalConductivity,,W/(m.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporViscosity,,(N/m^2).s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporViscosityKinematic,,m^2/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.DryVaporVolumetricFlow,,m^3/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.FlowsheetName,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.IsImplicitInSimulation,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1AccentricFactor,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1BubblePointPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1BubblePointTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1Compressibility,,unitless
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1CriticalPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1CriticalTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1CriticalVolume,,m^3/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1DewPointPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1DewPointTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1EnthalpyFlow,,W
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1HeatCapacityRatio,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid1MassDensity,,kg/m^3
